isbn,title,author,category,publisher,description,total_count
978-7-111-12345-1,Java编程思想,Bruce Eckel,计算机,机械工业出版社,Java编程经典教材，深入浅出讲解Java语言特性和面向对象编程思想,10
978-7-115-23456-2,Effective Java,Joshua Bloch,计算机,人民邮电出版社,Java最佳实践指南，包含78条实用的编程建议,8
978-7-121-34567-3,深入理解Java虚拟机,周志明,计算机,电子工业出版社,深入讲解JVM原理，包括内存管理、垃圾回收、类加载机制等,12
978-7-302-45678-4,设计模式：可复用面向对象软件的基础,GoF,计算机,清华大学出版社,23种经典设计模式的详细讲解，面向对象设计的经典之作,15
978-7-111-56789-5,算法导论,Thomas H. Cormen,计算机,机械工业出版社,算法和数据结构领域的权威教材，涵盖各种经典算法,20
978-7-115-67890-6,Python编程：从入门到实践,Eric Matthes,计算机,人民邮电出版社,Python编程入门教材，通过实际项目学习编程,18
978-7-121-78901-7,机器学习,周志华,计算机,清华大学出版社,机器学习领域的经典教材，系统介绍各种机器学习算法,10
978-7-302-89012-8,深度学习,Ian Goodfellow,计算机,人民邮电出版社,深度学习领域的权威教材，深入讲解神经网络原理,8
978-7-111-90123-9,操作系统概念,Abraham Silberschatz,计算机,高等教育出版社,操作系统经典教材，讲解进程管理、内存管理、文件系统等,12
978-7-115-01234-0,计算机网络,谢希仁,计算机,电子工业出版社,计算机网络原理教材，涵盖物理层到应用层的完整内容,15
978-7-111-12345-2,数据库系统概念,Abraham Silberschatz,计算机,机械工业出版社,数据库系统经典教材，讲解关系模型、SQL、事务处理等,10
978-7-302-23456-3,编译原理,Alfred V. Aho,计算机,机械工业出版社,编译原理经典教材，讲解词法分析、语法分析、代码生成等,8
978-7-121-34567-4,软件工程：实践者的研究方法,Roger S. Pressman,计算机,机械工业出版社,软件工程经典教材，涵盖软件开发生命周期,12
978-7-115-45678-5,代码整洁之道,Robert C. Martin,计算机,人民邮电出版社,如何编写清晰、可维护的代码，软件工匠的必读书,15
978-7-111-56789-6,重构：改善既有代码的设计,Martin Fowler,计算机,人民邮电出版社,重构技术的经典指南，如何在不改变功能的前提下改进代码,10
978-7-302-67890-7,人月神话,Frederick P. Brooks,计算机,清华大学出版社,软件项目管理经典著作，探讨软件开发的本质问题,8
978-7-121-78901-8,程序员的自我修养,俞甲子,计算机,电子工业出版社,深入讲解程序编译、链接、装载和运行机制,12
978-7-115-89012-9,黑客与画家,Paul Graham,计算机,人民邮电出版社,硅谷创业教父的文集，探讨编程、创业和创新的思考,10
978-7-111-90123-0,代码大全,Steve McConnell,计算机,电子工业出版社,软件构建的百科全书，涵盖编程实践的各个方面,15
978-7-302-01234-1,算法,Robert Sedgewick,计算机,人民邮电出版社,算法和数据结构教材，使用Java实现各种算法,12
978-7-111-12345-3,三体,刘慈欣,科幻小说,重庆出版社,雨果奖获奖作品，中国科幻小说的里程碑之作,20
978-7-115-23456-4,流浪地球,刘慈欣,科幻小说,中国华侨出版社,刘慈欣科幻小说集，包含多篇经典短篇小说,15
978-7-121-34567-5,银河系漫游指南,Douglas Adams,科幻小说,上海译文出版社,英国科幻喜剧经典，幽默风趣的太空冒险故事,18
978-7-302-45678-6,沙丘,Frank Herbert,科幻小说,江苏凤凰文艺出版社,科幻史诗巨著，探讨权力、宗教和生态的深刻主题,12
978-7-111-56789-7,基地,Isaac Asimov,科幻小说,江苏凤凰文艺出版社,科幻大师阿西莫夫的经典系列，银河帝国的兴衰史,10
978-7-115-67890-8,1984,George Orwell,科幻小说,上海译文出版社,反乌托邦经典小说，探讨极权主义的恐怖,15
978-7-121-78901-9,美丽新世界,Aldous Huxley,科幻小说,上海译文出版社,反乌托邦小说，描绘科技高度发达的未来社会,12
978-7-302-89012-0,神经漫游者,William Gibson,科幻小说,江苏凤凰文艺出版社,赛博朋克经典，开创了网络空间的概念,10
978-7-111-90123-1,安德的游戏,Orson Scott Card,科幻小说,广西科学技术出版社,雨果奖和星云奖双奖作品，少年天才的成长故事,18
978-7-115-01234-2,银河系搭车客指南,Douglas Adams,科幻小说,上海译文出版社,银河系漫游指南系列第一部，荒诞幽默的科幻喜剧,15
978-7-111-12345-4,百年孤独,Gabriel García Márquez,文学,南海出版公司,魔幻现实主义经典，布恩迪亚家族七代人的传奇故事,20
978-7-115-23456-5,霍乱时期的爱情,Gabriel García Márquez,文学,南海出版公司,马尔克斯的另一部经典，跨越半个世纪的爱情故事,15
978-7-121-34567-6,追风筝的人,Khaled Hosseini,文学,上海人民出版社,阿富汗背景的成长小说，关于友谊、背叛和救赎,18
978-7-302-45678-7,活着,余华,文学,作家出版社,余华代表作，讲述一个人和他命运之间的友情,25
978-7-111-56789-8,围城,钱钟书,文学,人民文学出版社,中国现代文学经典，讽刺知识分子的小说,20
978-7-115-67890-9,平凡的世界,路遥,文学,北京十月文艺出版社,现实主义长篇小说，展现中国农村的变迁,22
978-7-121-78901-0,白夜行,东野圭吾,悬疑小说,南海出版公司,东野圭吾代表作，悬疑推理小说的经典之作,15
978-7-302-89012-1,嫌疑人X的献身,东野圭吾,悬疑小说,南海出版公司,东野圭吾推理小说，逻辑严密的推理故事,18
978-7-111-90123-2,解忧杂货店,东野圭吾,悬疑小说,南海出版公司,温暖治愈的推理小说，时空交错的奇妙故事,20
978-7-115-01234-3,恶意,东野圭吾,悬疑小说,南海出版公司,东野圭吾推理小说，探讨人性中的恶意,12
978-7-111-12345-5,人类简史,Yuval Noah Harari,历史,中信出版社,从认知革命到科学革命，人类历史的宏大叙事,25
978-7-115-23456-6,未来简史,Yuval Noah Harari,历史,中信出版社,探讨人类未来的发展趋势，人工智能时代的思考,20
978-7-121-34567-7,今日简史,Yuval Noah Harari,历史,中信出版社,探讨21世纪人类面临的重大挑战,18
978-7-302-45678-8,枪炮、病菌与钢铁,Jared Diamond,历史,上海译文出版社,探讨人类文明发展的地理和环境因素,15
978-7-111-56789-9,文明之光,吴军,历史,人民邮电出版社,从人类文明发展的角度讲述科技史,12
978-7-115-67890-0,全球通史,Stavrianos,历史,北京大学出版社,世界历史的通史教材，涵盖从史前到现代,10
978-7-121-78901-1,万历十五年,黄仁宇,历史,生活·读书·新知三联书店,以万历十五年为中心，探讨明朝政治制度,15
978-7-302-89012-2,明朝那些事儿,当年明月,历史,中国友谊出版公司,用现代语言讲述明朝历史，通俗易懂,22
978-7-111-90123-3,中国历代政治得失,钱穆,历史,生活·读书·新知三联书店,钱穆先生的政治制度史讲义,12
978-7-115-01234-4,乡土中国,费孝通,社会学,北京大学出版社,中国社会学经典，分析中国乡村社会结构,18
978-7-111-12345-6,乌合之众,Gustave Le Bon,心理学,中央编译出版社,群体心理学经典，分析群体行为的特征,15
978-7-115-23456-7,思考，快与慢,Daniel Kahneman,心理学,中信出版社,诺贝尔经济学奖得主的心理学著作，探讨人类思维的两种模式,20
978-7-121-34567-8,影响力,Robert B. Cialdini,心理学,万卷出版公司,社会心理学经典，分析说服和影响力的原理,18
978-7-302-45678-9,自控力,Kelly McGonigal,心理学,文化发展出版社,斯坦福大学心理学课程，探讨意志力的科学,15
978-7-111-56789-0,原则,Ray Dalio,经济管理,中信出版社,桥水基金创始人的生活和工作原则,12
978-7-115-67890-1,从0到1,Peter Thiel,经济管理,中信出版社,硅谷创投教父的创业哲学,10
978-7-121-78901-2,精益创业,Eric Ries,经济管理,中信出版社,创业方法论，如何用最小成本验证商业假设,15
978-7-302-89012-3,创新者的窘境,Clayton M. Christensen,经济管理,中信出版社,探讨为什么优秀企业会失败,12
978-7-111-90123-4,定位,Al Ries,经济管理,机械工业出版社,营销经典，如何让品牌在消费者心智中占据位置,18
978-7-115-01234-5,富爸爸穷爸爸,Robert Kiyosaki,经济管理,四川人民出版社,财商教育经典，探讨资产和负债的区别,20
978-7-111-12345-7,穷查理宝典,Charlie Munger,经济管理,中信出版社,巴菲特合伙人查理·芒格的智慧箴言,15
978-7-115-23456-8,黑天鹅,Nassim Nicholas Taleb,经济管理,中信出版社,探讨不可预测事件对世界的影响,12
978-7-121-34567-9,反脆弱,Nassim Nicholas Taleb,经济管理,中信出版社,如何在不确定的世界中获益,10
978-7-302-45678-0,随机漫步的傻瓜,Nassim Nicholas Taleb,经济管理,中信出版社,探讨随机性在生活中的作用,8















